dayTveg	Tvplot1_top	a
254.979	16.0825	
254.986	16.42	
254.993	16.43	16.43
255	16.2388	
255.007	16.5263	
255.014	16.61	16.61
255.021	16.645	
255.028	16.585	
255.035	16.5588	16.5588
255.042	16.555	
255.049	16.33	
255.056	16.06	16.06
255.063	16.0875	
255.069	16.0563	
255.076	16.255	16.255
255.083	16.2563	
255.09	16.275	
255.097	16.3	16.3
255.104	16.1588	
255.111	16.0075	
255.118	16.255	16.255
255.125	16.3313	
255.132	15.3075	
255.139	15.095	15.095
255.146	14.8513	
255.153	13.9888	
255.16	13.52	13.52
255.167	13.8625	
255.174	14.2475	
255.181	14.7925	14.7925
255.188	14.6425	
255.194	13.9938	
255.201	14.2575	14.2575
255.208	14.4088	
255.215	14.4288	
255.222	13.8813	13.8813
255.229	12.8913	
255.236	12.5563	
255.243	11.9063	11.9063
255.25	11.3713	
255.257	10.8463	
255.264	10.5338	10.5338
255.271	10.1775	
255.278	10.025	
255.285	10.0788	10.0788
255.292	10.4763	
255.299	10.6625	
255.306	11.3388	11.3388
255.313	11.7713	
255.319	12.27	
255.326	12.3563	12.3563
255.333	13.0188	
255.34	13.7938	
255.347	14.225	14.225
255.354	14.87	
255.361	15.33	
255.368	16.0225	16.0225
255.375	18.0825	
255.382	18.2763	
255.389	18.2575	18.2575
255.396	19.6213	
255.403	18.9325	
255.41	19.6888	19.6888
255.417	20.8275	
255.424	20.7788	
255.431	21.3538	21.3538
255.438	22.0238	
255.444	22.1413	
255.451	22.0963	22.0963
255.458	22.8088	
255.465	23.1588	
255.472	21.8563	21.8563
255.479	23.7525	
255.486	24.615	
255.493	24.0988	24.0988
255.5	24.7025	
255.507	22.255	
255.514	23.33	23.33
255.521	24.6238	
255.528	23.5213	
255.535	23.225	23.225
255.542	23.79	
255.549	24.6813	
255.556	24.14	24.14
255.563	23.9363	
255.569	21.8988	
255.576	24.005	24.005
255.583	23.0613	
255.59	23.3725	
255.597	23.8513	23.8513
255.604	23.235	
255.611	23.8888	
255.618	24.9088	24.9088
255.625	24.7075	
255.632	24.395	
255.639	24.2363	24.2363
255.646	23.4363	
255.653	23.5313	
255.66	23.405	23.405
255.667	23.0763	
255.674	23.1025	
255.681	23.4825	23.4825
255.688	22.855	
255.694	23.92	
255.701	21.5013	21.5013
255.708	22.62	
255.715	22.9362	
255.722	21.5363	21.5363
255.729	21.9538	
255.736	22	
255.743	22.0313	22.0313
255.75	20.1425	
255.757	19.3363	
255.764	19.785	19.785
255.771	19.2863	
255.778	19.1388	
255.785	18.57	18.57
255.792	17.8063	
255.799	17.005	
255.806	16.3388	16.3388
255.813	15.2263	
255.819	14.4238	
255.826	15.26	15.26
255.833	15.4238	
255.84	15.1075	
255.847	14.8038	14.8038
255.854	14.3488	
255.861	13.8238	
255.868	13.5438	13.5438
255.875	13.0388	
255.882	13.185	
255.889	13.8038	13.8038
255.896	14.255	
255.903	14.2125	
255.91	13.74	13.74
255.917	13.4563	
255.924	12.745	
255.931	12.4863	12.4863
255.938	12.195	
255.944	11.7888	
255.951	11.6725	11.6725
255.958	11.5575	
255.965	11.8013	
255.972	11.7763	11.7763
255.979	11.8425	
255.986	11.9975	
255.993	11.705	11.705
256	11.6688	
256.007	11.4913	
256.014	11.35	11.35
256.021	11.4875	
256.028	11.5663	
256.035	11.6888	11.6888
256.042	12.0375	
256.049	11.775	
256.056	11.7362	11.7362
256.063	12.0338	
256.069	12.1475	
256.076	11.9288	11.9288
256.083	11.7175	
256.09	11.19	
256.097	11.645	11.645
256.104	11.5863	
256.111	11.5913	
256.118	10.9775	10.9775
256.125	10.7625	
256.132	10.4075	
256.139	10.4	10.4
