simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
50,0,0,1.763570e+03,3.862785e+02,1.481814e+00,1.128186e+00,1.347809e+03,1.136347e+03,2.114625e+02,6.155025e+02,5.183881e+02,9.711434e+01,3.750315e+02,3.152048e+02,5.982664e+01,2.964098e+02,2.495980e+02,4.681187e+01,1.228605e+02,1.034303e+02,1.943012e+01,9.487079e+01,7.968114e+01,1.518965e+01
51,0,0,9.170146e+02,2.008861e+02,2.290143e+00,2.549857e+00,7.926130e+02,6.824648e+02,1.101482e+02,4.730976e+02,4.042930e+02,6.880455e+01,1.849522e+02,1.587276e+02,2.622466e+01,1.738624e+02,1.495091e+02,2.435321e+01,9.570823e+01,8.184500e+01,1.386323e+01,4.658697e+01,3.996605e+01,6.620918e+00
52,0,0,1.494529e+02,3.274420e+01,1.262657e+00,4.527343e+00,1.433654e+02,1.176675e+02,2.569792e+01,1.342166e+02,1.086493e+02,2.556724e+01,5.315581e+00,4.199304e+00,1.116277e+00,3.139903e+01,2.561535e+01,5.783679e+00,2.828654e+01,2.285945e+01,5.427095e+00,1.321934e+00,1.043562e+00,2.783715e-01
53,0,0,3.943448e+02,8.633519e+01,6.645446e-01,3.654554e-01,1.917758e+02,1.609533e+02,3.082254e+01,5.821629e+01,4.886670e+01,9.349590e+00,4.852713e+01,4.068836e+01,7.838762e+00,4.292709e+01,3.600639e+01,6.920696e+00,1.177185e+01,9.875490e+00,1.896356e+00,1.243922e+01,1.042253e+01,2.016690e+00
54,0,0,4.625888e+02,1.013040e+02,4.368155e-01,1.161845e-01,1.661380e+02,1.502528e+02,1.588525e+01,9.562698e+01,8.677067e+01,8.856309e+00,5.612563e+01,5.047637e+01,5.649263e+00,3.672707e+01,3.317180e+01,3.555273e+00,1.919675e+01,1.740090e+01,1.795844e+00,1.411552e+01,1.268870e+01,1.426823e+00
55,0,0,7.531341e+02,1.650009e+02,1.543880e+00,3.716120e+00,7.058961e+02,5.908603e+02,1.150357e+02,6.578681e+02,5.401840e+02,1.176841e+02,9.869278e+01,8.027088e+01,1.842190e+01,1.545948e+02,1.287981e+02,2.579667e+01,1.364111e+02,1.121323e+02,2.427882e+01,2.447939e+01,1.990561e+01,4.573782e+00
56,0,0,9.794355e+02,2.145848e+02,1.230119e+00,3.269881e+00,9.181506e+02,7.445493e+02,1.736013e+02,7.371290e+02,5.943998e+02,1.427292e+02,3.151135e+01,2.472626e+01,6.785096e+00,2.010665e+02,1.622075e+02,3.885902e+01,1.557524e+02,1.252966e+02,3.045572e+01,7.883052e+00,6.185644e+00,1.697408e+00
57,0,0,9.507137e+02,2.082855e+02,9.466897e-01,1.193310e+00,8.049325e+02,6.643777e+02,1.405548e+02,7.378330e+02,6.080260e+02,1.298070e+02,2.845936e+01,2.276704e+01,5.692321e+00,1.761574e+02,1.446350e+02,3.152237e+01,1.560635e+02,1.280899e+02,2.797358e+01,7.061274e+00,5.643082e+00,1.418192e+00
58,0,0,5.362782e+02,1.174546e+02,6.703916e-01,3.016084e-01,2.887817e+02,2.506715e+02,3.811023e+01,1.821685e+02,1.585754e+02,2.359305e+01,8.493945e+01,7.310039e+01,1.183906e+01,6.356985e+01,5.507361e+01,8.496237e+00,3.666579e+01,3.187511e+01,4.790688e+00,2.138273e+01,1.838949e+01,2.993239e+00
59,0,0,4.167946e+02,9.130515e+01,8.372996e-01,4.227004e-01,2.661316e+02,2.295381e+02,3.659357e+01,1.685228e+02,1.459182e+02,2.260459e+01,5.958568e+01,5.066455e+01,8.921128e+00,5.834479e+01,5.019175e+01,8.153037e+00,3.425605e+01,2.960192e+01,4.654126e+00,1.499411e+01,1.273777e+01,2.256345e+00
60,0,0,1.060884e+03,2.324077e+02,1.130550e+00,1.759450e+00,9.314915e+02,7.656072e+02,1.658843e+02,6.989737e+02,5.714052e+02,1.275685e+02,2.354463e+02,1.890179e+02,4.642843e+01,2.041468e+02,1.670206e+02,3.712618e+01,1.412669e+02,1.153574e+02,2.590953e+01,5.895591e+01,4.726804e+01,1.168787e+01
61,0,0,8.586524e+02,1.877521e+02,1.365725e+00,1.394275e+00,5.479867e+02,4.222205e+02,1.257662e+02,3.098025e+01,2.193219e+01,9.048066e+00,2.615572e+02,2.139201e+02,4.763713e+01,1.243256e+02,9.666549e+01,2.766012e+01,5.857892e+00,4.165007e+00,1.692885e+00,6.621929e+01,5.415081e+01,1.206849e+01
62,0,0,3.368429e+02,7.379509e+01,1.184996e+00,2.005004e+00,3.028071e+02,2.472677e+02,5.553939e+01,2.308058e+02,1.883693e+02,4.243644e+01,3.076486e+01,2.441184e+01,6.353029e+00,6.636784e+01,5.392497e+01,1.244287e+01,4.829451e+01,3.928368e+01,9.010832e+00,7.700493e+00,6.105210e+00,1.595283e+00
63,0,0,6.017866e+02,1.318070e+02,1.060143e+00,1.739857e+00,5.042525e+02,3.956156e+02,1.086369e+02,2.881099e+02,2.253342e+02,6.277569e+01,8.193461e+01,6.409418e+01,1.784042e+01,1.108796e+02,8.684303e+01,2.403653e+01,5.904276e+01,4.617362e+01,1.286914e+01,2.071784e+01,1.620282e+01,4.515019e+00
64,0,0,9.306954e+02,2.038963e+02,8.758430e-01,6.641570e-01,6.858900e+02,5.807583e+02,1.051317e+02,5.575711e+02,4.728598e+02,8.471130e+01,1.209453e+02,1.002653e+02,2.067998e+01,1.501214e+02,1.266281e+02,2.349334e+01,1.150688e+02,9.732278e+01,1.774603e+01,3.017391e+01,2.498596e+01,5.187947e+00
65,0,0,1.892012e+02,4.145144e+01,1.066726e+00,1.983274e+00,1.713566e+02,1.396132e+02,3.174339e+01,1.457363e+02,1.184991e+02,2.723726e+01,2.540812e+01,2.003542e+01,5.372698e+00,3.754290e+01,3.041218e+01,7.130726e+00,3.028431e+01,2.454109e+01,5.743212e+00,6.326036e+00,4.982183e+00,1.343853e+00
66,0,0,1.195724e+03,2.617947e+02,1.097488e+00,2.912512e+00,1.047194e+03,8.096113e+02,2.375822e+02,5.159166e+02,3.892128e+02,1.267038e+02,3.744098e+02,2.942179e+02,8.019190e+01,2.307901e+02,1.784754e+02,5.231477e+01,1.003765e+02,7.586730e+01,2.450916e+01,9.445842e+01,7.413497e+01,2.032345e+01
67,0,0,1.244964e+03,2.727525e+02,1.519840e+00,2.340160e+00,1.119635e+03,9.439781e+02,1.756567e+02,9.982860e+02,8.354384e+02,1.628476e+02,1.058654e+02,8.700079e+01,1.886465e+01,2.452729e+02,2.058984e+02,3.937447e+01,2.087070e+02,1.744041e+02,3.430292e+01,2.633097e+01,2.162368e+01,4.707284e+00
68,0,0,1.356981e+03,2.972334e+02,1.142678e+00,2.107322e+00,1.187980e+03,9.598318e+02,2.281481e+02,6.933912e+02,5.607493e+02,1.326419e+02,2.537601e+02,2.016472e+02,5.211290e+01,2.607963e+02,2.099380e+02,5.085836e+01,1.412299e+02,1.139872e+02,2.724267e+01,6.392919e+01,5.075281e+01,1.317638e+01
69,0,0,1.054094e+02,2.307437e+01,1.422338e+00,3.137662e+00,9.096374e+01,6.899984e+01,2.196391e+01,3.593420e+01,2.599643e+01,9.937764e+00,3.640160e+01,2.914328e+01,7.258320e+00,2.010560e+01,1.534022e+01,4.765377e+00,6.938478e+00,5.034026e+00,1.904452e+00,9.169404e+00,7.338502e+00,1.830901e+00
70,0,0,4.003569e+01,8.771709e+00,1.125015e+00,4.274985e+00,3.859423e+01,3.145582e+01,7.138408e+00,3.157116e+01,2.553154e+01,6.039619e+00,5.077402e+00,3.987081e+00,1.090321e+00,8.452185e+00,6.844811e+00,1.607375e+00,6.536755e+00,5.272006e+00,1.264749e+00,1.269446e+00,9.952033e-01,2.742428e-01
71,0,0,1.590901e+03,3.485092e+02,9.149767e-01,7.250233e-01,1.139681e+03,9.520668e+02,1.876141e+02,9.129135e+02,7.622455e+02,1.506680e+02,1.782708e+02,1.463005e+02,3.197035e+01,2.499937e+02,2.081527e+02,4.184098e+01,1.899076e+02,1.582461e+02,3.166155e+01,4.465990e+01,3.663267e+01,8.027235e+00
72,0,0,5.162737e+02,1.131115e+02,1.238485e+00,4.621515e+00,4.778662e+02,3.851262e+02,9.274002e+01,4.185109e+02,3.345029e+02,8.400804e+01,4.091390e+00,3.171737e+00,9.196523e-01,1.046949e+02,8.391303e+01,2.078188e+01,8.907691e+01,7.104414e+01,1.803277e+01,1.021089e+00,7.920344e-01,2.290545e-01
73,0,0,1.739948e+03,3.811522e+02,5.128500e-01,7.214996e-02,5.720192e+02,5.322738e+02,3.974547e+01,5.434555e+02,5.058726e+02,3.758294e+01,3.767346e+01,3.489773e+01,2.775727e+00,1.254618e+02,1.166468e+02,8.815000e+00,1.153020e+02,1.072441e+02,8.057846e+00,9.376399e+00,8.683742e+00,6.926572e-01
74,0,0,1.493134e+03,3.271168e+02,1.657924e+00,1.302076e+00,1.194509e+03,1.026335e+03,1.681744e+02,9.716088e+02,8.324803e+02,1.391285e+02,8.098385e+01,6.850429e+01,1.247956e+01,2.619489e+02,2.244622e+02,3.748671e+01,2.045316e+02,1.749828e+02,2.954872e+01,2.026106e+01,1.712934e+01,3.131719e+00
75,0,0,6.804337e+02,1.490787e+02,1.066714e+00,3.243286e+00,6.426066e+02,5.238032e+02,1.188034e+02,5.159624e+02,4.185689e+02,9.739345e+01,7.348393e+01,5.772312e+01,1.576082e+01,1.407044e+02,1.139696e+02,2.673478e+01,1.073672e+02,8.679428e+01,2.057290e+01,1.839401e+01,1.442599e+01,3.968022e+00
76,0,0,1.627040e+02,3.564065e+01,2.426615e+00,4.423385e+00,1.495775e+02,1.273882e+02,2.218931e+01,8.448827e+01,7.146322e+01,1.302505e+01,2.477050e+01,2.105348e+01,3.717018e+00,3.281437e+01,2.791593e+01,4.898445e+00,1.731981e+01,1.466309e+01,2.656723e+00,6.259436e+00,5.319653e+00,9.397829e-01
77,0,0,5.711953e+02,1.251346e+02,1.352130e+00,1.967870e+00,5.008753e+02,4.097625e+02,9.111285e+01,4.108032e+02,3.319645e+02,7.883866e+01,8.566552e+01,6.889002e+01,1.677551e+01,1.097948e+02,8.952548e+01,2.026934e+01,8.471146e+01,6.849642e+01,1.621504e+01,2.142296e+01,1.722885e+01,4.194109e+00
78,0,0,1.403430e+03,3.073780e+02,1.009924e+00,9.800758e-01,1.026611e+03,8.277467e+02,1.988646e+02,7.452889e+02,5.991163e+02,1.461726e+02,2.464571e+02,1.973563e+02,4.910083e+01,2.259498e+02,1.818267e+02,4.412317e+01,1.532717e+02,1.231220e+02,3.014974e+01,6.183220e+01,4.952592e+01,1.230628e+01
79,0,0,1.557207e+03,3.411483e+02,5.915994e-01,2.084006e-01,7.942654e+02,7.071653e+02,8.710015e+01,6.626362e+02,5.913440e+02,7.129221e+01,1.433145e+02,1.260916e+02,1.722287e+01,1.737341e+02,1.543453e+02,1.938886e+01,1.366902e+02,1.217609e+02,1.492931e+01,3.572962e+01,3.141330e+01,4.316318e+00
